,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,779,Domnul Florin-Vasile Cîțu:,1286, sedintei comune a camerei deputatilor si senatului din ziua de patru aprilie doua mii douazeci si doi sedinta a inceput la ora nouasprezece zero lucrarile sedintei au fost conduse de domnul senator florin vasile citu presedintele senatului asistat de doamna deputat alexandra presura secretar al camerei deputatilor si de domnul senator ion narcis mircescu secretar al senatului din prezidiu a facut parte si domnul deputat ion marcel ciolacu presedintele camerei deputatilor ,"(717.46, 717.46)"
2,Domnul Florin-Vasile Cîțu:,1286,Domnul Nicolae-Miroslav Petrețchi:,2240, buna seara stimati colegi va rog sa luati loc incepem sedinta comuna a senatului si camerei deputatilor incepem sedinta comuna de luni patru aprilie doua mii douazeci si doi domnule presedinte volodimir zelenski presedintele ucrainei domnule presedinte al camerei deputatilor domnule prim ministru doamnelor si domnilor ministri doamnelor si domnilor senatori si deputati trei stimati invitati onorata instanta va rog sa imi permiteti sa declar deschisa sedinta comuna de astazi a senatului si camerei deputatilor consacrata discursului domnului volodimir zelenski presedintele ucrainei a cerut cuvantul la inceput domnul nicolae miroslav petretchi ,"(523.46, 531.46)"
3,Domnul Nicolae-Miroslav Petrețchi:,2240,Domnul Ion-Marcel Ciolacu:,3342, va multumesc mult domnule presedinte al senatului stimate domnule presedinte volodimir zelenski velimyshanovnyi prezydente volodymyr zelenskyi stimate domnule presedinte al camerei deputatilor stimate domnule prim ministru doamnelor si domnilor senatori si deputati distinsi membri ai guvernului doamnelor si domnilor invitati va rog sa mi permiteti sa va adresez o rugaminte atat in limba ucraineana cat si in limba romana vnaslidok nezakonnoi ahresii rosiyskoi federatsii proty ucrainy v iakiy zahynuly tysiachi nevynnyh liudei proshu vshanuvaty ih pamiati hvylynoiu movchannia ca urmare a agresiunii ilegale a federatiei ruse in ucraina in urma careia si au pierdut viata mii de oameni nevinovati va rog sa fiti de acord sa tinem un moment de reculegere patru va multumesc mult ,"(492.46, 919.46)"
4,Domnul Ion-Marcel Ciolacu:,3342,Domnul Florin-Vasile Cîțu:,3459, invit la tribuna pe domnul florin vasile citu presedintele senatului romaniei ,"(500.46, 500.46)"
5,Domnul Florin-Vasile Cîțu:,3459,Domnul Ion-Marcel Ciolacu:,6806, invit la tribuna pe excelenta sa domnul marcel ciolacu presedintele camerei deputatilor ,"(717.46, 717.46)"
6,Domnul Ion-Marcel Ciolacu:,6806,Domnul Florin-Vasile Cîțu:,10490, domnule presedinte al ucrainei domnule presedinte al senatului domnule prim ministru doamnelor si domnilor deputati si senatori stimati membri ai guvernului incepand cu douazeci si patru februarie ne confruntam cu cea mai grava criza se securitate de la finele celui de al doilea razboi mondial prin invazia nejustificata ilegala si neprovocata a federatiei ruse impotriva ucrainei sapte ne alaturam si de la aceasta tribuna vocilor care exprima sprijinul ferm si de neclintit pentru independenta suveranitatea si integritatea teritoriala a ucrainei in granitele sale recunoscute international asa cum exprimam inca din data de douazeci si opt februarie prin declaratia parlamentului romaniei privind situatia din ucraina respingem cu hotarare comportamentul iresponsabil al rusiei si cerem incetarea imediata si neconditionata a actiunii militare impotriva ucrainei precum si retragerea fortelor armate ruse de pe intreg teritoriul acestei tari ultimele zile ne au aratat imagini oribile greu de crezut pentru europa secolului xxi imaginile din bucea care au facut inconjurul lumii ne au coplesit si ne au revoltat pe toti nu putem accepta ca autorii acestor masacre sa ramana nepedepsiti ei trebuie sa ajunga in fata justitiei sa fie trasi la raspundere cat mai rapid in acest sens sprijinim pe deplin o ancheta amanuntita din partea curtii penale internationale romania alaturandu se acestui demers inca de pe data de doi martie domnule presedinte zelenski doamnelor si domnilor in aceste momente doresc sa mi exprim intreaga solidaritate cu tara dumneavoastra cu cetatenii si autoritatile ucrainene legitime va asigur ca asa cum s a intamplat si pana acum cetatenii care fug din calea razboiului vor gasi ocrotirea de care au nevoie in opt romania implicarea si generozitatea aratate de societatea civila de cetatenii romani in sprijinul numerosilor refugiati sositi in tara noastra sunt cea mai emotionanta expresie a valorilor europene pentru apararea carora se da astazi lupta in ucraina domnule presedinte razboiul este o tragedie din care nimeni nu castiga toti pierd razboiul aduce doar moarte suferinta si destine distruse tocmai de aceea gandul meu se indreapta si catre etnicii romani din cernauti odesa de pe tot cuprinsul ucrainei romanii din ucraina lupta in aceste zile pentru libertatea tarii in care traiesc si in care isi cresc copiii ,"(733.46, 919.46)"
7,Domnul Florin-Vasile Cîțu:,10490,Domnul  Volodimir  Zelenski,10876, noua doamnelor si domnilor senatori si deputati stimati invitati onorata asistenta va invit sa ascultam mesajul domnului volodimir zelenski presedintele ucrainei ,"(985.46, 985.46)"
8,Domnul  Volodimir  Zelenski,10876,:,10953, ,"(60.0, 2222.46)"
9,:,10953,Domnul Florin-Vasile Cîțu:,19432, autoturisme au fost strivite de tancuri violau femei si fete si e doar inceputul unei anchete nu avem inca toate dovezile nu avem inca toate gropile comune in care oamenii au fost ingropati militarii au torturat oamenii si avem toata baza sa consideram ca oamenii omorati sunt mult mai multi si mult mai mult decat ce se cunoaste acum de ce au facut militarii acest lucru pe trei aprilie in ziua cand lumea a fost ingrozita sa vada cadavrele celor ucisi la bucea pe site ul agentiei de stiri de stat ruse ria novosti a fost publicat un articol care justifica genocidul ucrainenilor denumirea articolului era elocventa citez ce ar trebui sa faca rusia cu ucraina nu este doar un text aceasta este una dintre dovezile pentru viitorul tribunal impotriva criminalilor de razboi rusi zece articolul descrie o procedura foarte clara si calculata pentru distrugerea a tot ce face din ucraineni ce inseamna ucraineni si ucraina poporul care nu poate fi distrus si omorat ei doresc de ucrainizarea si de europenizarea ucrainei se spune in articol ca si denumirea statului nostru trebuie stearsa practic si moartea a cat mai multor ucraineni in razboi este de dorit pentru ei si toate acestea se scriu pe site ul agentiei de stat a federatiei ruse unde fara cenzura nu poate fi publicat nimic se publica doar ceea ce inseamna o pozitie oficiala in razboiul cu ucraina tot ce nu respecta aceasta pozitie nu trece de cenzura vreau sa ma intelegeti corect ei nici macar nu se ascund ei vorbesc foarte deschis despre razboiul impotriva ucrainei si scopul acestui razboi daca armata noastra si poporul nostru nu s ar fi aparat ceea ce au facut ei la bucea ar fi facut pe intregul teritoriul ucrainei avem informatii despre faptul ca au fost omorati invatatori si profesori au fost omorati toti cei care erau considerati de ocupanti ca activisti sau persoane care prin faptul ca aveau in apartament simbolurile nationale ale ucrainei drapelul ucrainei sau stema ucrainei acestea erau motive pentru a fi omorati sau amenintati cu moartea dar de ce ei nu se ascund de ce nu se ascund nici acum cand lumea a inteles foarte bine ce se intampla ca vor sa distruga o intreaga natiune la aceasta intrebare exista doua raspunsuri in primul rand trebuie sa intelegeti foarte bine ca in o mie noua sute optzeci si noua si a incheiat viata nicolae ceausescu dupa multi ani in care era foarte clar unsprezece ca aceasta persoana era inadecvata ca sotia lui si securitatea trageau tara in jos catre saracie izolare nu numai de intreaga lume dar izolare de tot ce inseamna progres acel regim se baza doar pe infricosare pe represiune pe putere si nimic nu avea sfant poporul roman s a ridicat si s a aparat doborand un regim inadecvat pentru ca era singura cale ceausescu si sotia lui si anturajul sau nu puteau fi convinsi de nimic la fel nu pot fi convinsi de nimic in prezent in rusia nu pot fi convinsi cei care propaga razboiul cei care dau ordine criminale cei care elaboreaza planuri impotriva intregului popor si impotriva distrugerii statului ucrainean acesti oameni inadecvati au pierdut orice legatura cu realitatea si sunt dispusi sa sacrifice milioane de vieti pentru a si implementa ideile lor nebunesti iar al doilea motiv pentru care rusia face apel la genocid si nu ascunde acest lucru si comite orori pe care toata lumea le a vazut la bucea pentru ca ei sunt convinsi ca liderii europeni nu vor putea sa i opreasca pentru ca ei sunt slabi si europa nu va reusi poporul european nu va reusi sa si apere valorile care il uneste doamnelor si domnilor stimati romani impreuna trebuie sa i oprim pe acesti oameni inadecvati care s au obisnuit sa nu fie pedepsiti ca li se permite orice trebuie impreuna sa oprim oamenii care doresc genocid in europa de ce trebuie sa facem acest lucru impreuna si fiecare in parte trebuie sa inteleaga ucraina nu este ultima tinta a agresiunii doisprezece rusesti ocupantii rusi vor sa treaca de orasul mikolaiv ca sa ocupe odesa iar de la odesa e un pas pana in moldova propagandistii de stat din rusia spun de mult ca moldova este o tinta pentru expansiunea rusa de aceea este fundamental sa aparam si independenta si statalitatea moldovei iar asta inseamna si securitatea in intreaga regiune a dunarii in prezent pe teritoriul ucrainei se decide soarta intregii europe centrale si a regiunii marii negre de aceea aparand libertatea ucrainei libertatea ucrainenilor inseamna sa protejezi sa aperi securitatea europei ce trebuie sa facem da au fost impuse sanctiuni impotriva rusiei pana acum dar razboiul dureaza deja de patruzeci de zile dupa opt ani de razboi in donbas rusia trebuie sa caute pacea cu ucraina si cu toata europa de aceea trebuie sa fie privata de toate resursele in primul rand financiare si economice trebuie sa inchideti porturile pentru navele rusesti opriti tranzitul marfurilor spre rusia si din rusia nu importati resurse energetice din rusia nu exista alternative putem sa vorbim despre formate mai multe programe petrol in schimbul produselor alimentare dar este nevoie de a impune alte sanctiuni treisprezece fiecare politician din lumea democratica trebuie sa sustina sub toate formele ucraina prin armament pentru ca acum se decide cine va castiga acest razboi libertatea sau tirania fiecare trebuie sa faca tot ce se poate pentru ca acesti militari rusi sa raspunda in fata legii pentru infractiunile comise pe teritoriile ocupate ale ucrainei astazi am vorbit cu reprezentantii uniunii europene despre sustinerea in investigarea crimelor comise in ucraina sunt convins ca romania va sustine tot ce trebuie pentru a impune dreptatea si europa in totalitate sunt convins ca romania si firmele romanesti vor participa la programele de refacere a ucrainei dupa razboi propunem partenerilor nostri sa preia responsabilitatea pentru refacerea unor regiuni sau orase care au fost distruse de rusia potentialul nostru puterea noastra interna este mare dar avem nevoie de sustinere pentru a reface viata in ucraina va multumesc multumesc intregului popor roman pentru ajutorul acordat refugiatilor din ucraina celor care s au refugiat in romania sper ca vom avea conditii in care rusia sa renunte la razboi si acesti oameni sa se poata intoarce acasa in ucraina iar aceasta experienta de sustinere si de respect reciproc si bunatatea dintre popoarele noastre este o baza pentru o apropiere si mai mare intre popoarele noastre si statele noastre de indata ce situatia o va permite vreau sa incep un dialog cu romania pentru a acorda intreaga protectie minoritatilor noastre paisprezece nationale comunitatii romanesti din ucraina si celei ucrainene din romania si sa asiguram toata sustinerea pe care o putem asigura pentru ca viitorul nostru este impreuna intr o familie europeana si sunt convins ca foarte curand voi putea sa ma adresez dumneavoastra cu multumiri pentru intreaga sustinere sustinerea romaniei in intrarea ucrainei in uniunea europeana va multumesc foarte mult glorie romaniei glorie ucrainei ,"(577.46, 636.46)"
10,Domnul Florin-Vasile Cîțu:,19432,Domnul Nicolae-Ionel Ciucă  :,-1, multumesc domnule presedinte al ucrainei volodimir zelenski domnule presedinte al senatului domnule presedinte al camerei deputatilor doamnelor si domnilor senatori domnilor ministri salut initiativa parlamentului romaniei de a l invita pe presedintele ucrainei volodimir zelenski pentru a sustine un discurs si a prezenta imaginile atrocitatilor care au avut loc la bucea si de cincisprezece asemenea pentru a realiza prin ce perioada extrem de grea trec ucraina si europa simbol al rezistentei in fata unei agresiuni barbare si nedrepte sunteti astazi domnule presedinte zelenski liderul unei natiuni care lupta pentru identitate si libertate in acest razboi ilegal si neprovocat multi mult prea multi si au pierdut viata altii au fost obligati sa ia calea refugiului ca urmare a bombardamentelor brutale si a atrocitatilor trupelor rusesti fara discernamant asupra civililor scolilor spitalelor teatrelor atrocitatile de la bucea de care am aflat chiar ieri si pe care dumneavoastra le ati prezentat inaintea discursului cand trupele ucrainene au intrat in zonele ocupate din jurul kievului ne au cutremurat pe toti toate aceste actiuni inumane asupra populatiei civile trebuie sanctionate de instantele penale internationale iar noi vom face tot ceea ce depinde de noi pentru a sprijini aducerea celor responsabili in fata justitiei folosesc acest prilej pentru a mi manifesta admiratia pentru tenacitatea determinarea si curajul poporului ucrainean in a si apara tara valorile democratice si modul lor de viata noi romanii suntem solidari cu poporul ucrainean ne am deschis portile si sufletele pentru vecinii ucraineni veniti la noi in tara si in acelasi timp i am sprijinit si pe ceilalti cetateni straini plecati din ucraina spre casele lor solidaritatea noastra fata de cei peste sase sute cincizeci zero de vecini si prieteni veniti in romania s a manifestat nu doar la nivelul institutiilor saisprezece statului ci si la nivelul organizatiilor neguvernamentale dar cel mai important la nivelul romanilor al cetatenilor simpli care au simtit drama vecinilor ucraineni si si au dorit din tot sufletul sa ii ajute le multumesc tuturor pentru acest efort dovada de omenie solidaritate si deschidere este important sa intelegem ca in societatile cu valori europene si democratice asumate gasesti mereu prieteni de nadejde domnule presedinte zelenski vom face tot ceea ce ne sta in putinta pentru ca cetatenii ucraineni care au ajuns in romania sa poata avea o viata normala si un trai decent cetatenii ucraineni ajunsi in romania beneficiaza de servicii de sanatate in aceleasi conditii ca si cetatenii romani si isi pot gasi un loc de munca am modificat legislatia in acest sens iar peste unu o suta deja lucreaza in firme romanesti cei peste treizeci zero de copii veniti din ucraina pot merge la scoala in cele cincizeci de scoli si sapte licee cu predare in limba ucraineana precum si folosind celelalte facilitati puse la dispozitie de catre ministerul educatiei din romania vom continua sa ii ajutam atat pe ucrainenii ramasi sa isi apere tara cat si pe cei stramutati intern cu ajutor umanitar combustibil si resurse necesare pentru a supravietui am infiintat hub ul umanitar european de la suceava prin care transferam ajutoarele venite de pretutindeni suntem gata sa ducem pana la capat acest efort de durata cu sprijinul uniunii europene al organizatiei natiunilor unite si saptesprezece inaltului comisariat pentru refugiati precum si al altor state partenere domnule presedinte zelenski vreau sa va asigur ca familiile ucrainenilor ajunse in romania sunt in siguranta si avem grija de toti ucrainenii sositi pe teritoriul romaniei si va multumesc pentru ca ati facut referire in cuvantul dumneavoastra la cetatenii de etnie romana care traiesc in ucraina si sunt convins ca asa cum noi avem grija de cetatenii dumneavoastra la fel veti avea si dumneavoastra grija de cetatenii de etnie romana va multumesc traiasca romania slava ukraini domnul florin vasile citu multumesc domnule prim ministru doamnelor si domnilor senatori si deputati stimati invitati am incheiat interventiile multumindu va pentru participare va rog sa mi permiteti sa declar inchisa sedinta comuna a senatului si camerei deputatilor multumesc sedinta s a incheiat la ora nouasprezece treizeci si doi ,"(1855.46, 2222.46)"
