,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 6 septembrie 2022,21, ,"(150.0, 6140.0)"
2,şedinţei Senatului din 6 septembrie 2022,21,S U M A R,65, ,"(150.0, 6140.0)"
3,S U M A R,65,S T E N O G R A M A,4066, unu aprobarea ordinii de zi si a programului de lucru trei patru douazeci si trei doi aprobarea unor modificari in componenta nominala a comisiilor permanente patru sase ale senatului unsprezece doisprezece informare privind componenta nominala a birourilor de conducere ale unor treizeci si patru treizeci si cinci comisii permanente ale senatului trei aprobarea solicitarii de retragere din procesul legislativ a unei initiative legislative sase patru aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a unei sase initiative legislative cinci adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la douazeci si noua si sapte treizeci iunie respectiv patru septembrie doua mii douazeci si doi a unor initiative legislative sase dezbaterea si adoptarea proiectului de lege pentru aprobarea ordonantei de sapte opt treizeci urgenta a guvernului nr saptezeci si opt doua mii douazeci si doi privind unele masuri pentru ocuparea posturilor aferente functiilor publice vacante si temporar vacante care au atributii in implementarea planului national de redresare si rezilienta al romaniei ,"(1881.0, 5383.0)"
4,S T E N O G R A M A,4066,şedinţei Senatului din 6 septembrie 2022,4087, ,"(150.0, 6140.0)"
5,şedinţei Senatului din 6 septembrie 2022,4087,Doamna Alina-Ștefania Gorghiu:,4354, sedinta a inceput la ora cincisprezece sapte lucrarile sedintei au fost conduse de doamna alina stefania gorghiu vicepresedinte al senatului asistata de domnii ion mocioalca si eugen pirvulescu secretari ai senatului ,"(150.0, 6140.0)"
6,Doamna Alina-Ștefania Gorghiu:,4354,Domnul Cătălin-Daniel Fenechiu:,6040, buna ziua stimati colegi o sa va rog sa luati loc in sala sa putem sa incepem sedinta de astazi stimati colegi va rog sa mi permiteti sa declar deschisa sedinta plenului senatului de astazi sase septembrie doua mii douazeci si doi va anunt ca din totalul de o suta treizeci si cinci de senatori pana acum s au inregistrat cu prezenta la lucrari un numar de saptezeci voi conduce sedinta de astazi impreuna cu colegii mei domnul secretar ion mocioalca domnul secretar eugen pirvulescu in calitate de secretari ai senatului asa cum am comunicat ordinea de zi pentru sedinta de plen v a fost distribuita daca nu sunt comentarii o sa supun votului dumneavoastra ordinea de zi va rog sa introduceti cartelele sa putem sa dam acest vot pe ordinea de zi rog vot patruzeci si opt de voturi pentru niciun vot impotriva nicio abtinere ordinea de zi a fost aprobata o sa rog colegii care nu au cartela sa anunte acum pentru a face mentiunea in stenograma sedintei daca exista si aceste situatii vad ca nu exista la acest moment ca atare voi merge mai departe cu programul de lucru pentru aceasta zi dupa cum stim ora cincisprezece zero a fost aprobata de birou si de comitet ca lucrarile in plenul senatului sa se desfasoare cu dezbaterea initiativelor legislative inscrise pe ordinea de zi ora saisprezece zero vot final interventii in legatura cu programul exista daca nu sunt interventii supun votului dumneavoastra programul asa cum a fost prezentat rog vot saptezeci si unu pentru un vot impotriva nicio abtinere se aproba si programul de lucru multumesc sectiunea liderul grupului partidului national liberal va rog aveti cuvantul pe procedura ,"(1230.0, 1369.0)"
7,Domnul Cătălin-Daniel Fenechiu:,6040,Doamna Alina-Ștefania Gorghiu:,7511, multumesc mult doamna presedinta ramasesem dator sedinta trecuta cu niste anunturi privind activitatea partidului national liberal in comisii o sa incep prin a informa grupul usr ca pnl renunta la unul din locurile pe care le a avut in comisia de aparare respectiv cel ocupat de iulia scantei motiv pentru care grupul usr are un loc suplimentar prin renuntarea partidului national liberal la munca unde partidul national liberal are in comisie potrivit algoritmului patru reprezentanti il nominalizam pe eugen pirvulescu si vom face o nominalizare intr o sedinta viitoare asteptam sa ne vina un coleg care va fi nominalizat acolo la buget finante urmare a cresterii numarului de membri ai comisiei de la treisprezece la cincisprezece il nominalizam pe alexandru nazare la educatie o nominalizam pe doamna lucica muntean la sanatate in locul doctorului carp nu facem o nominalizare urmeaza s o anuntam intr o sedinta viitoare la comisia de stiinta inovare si tehnologie o sa intre liviu bratescu in locul lui sorin cimpeanu iar la comisia pentru tineret si sport va intra ciprian pandea care l va inlocui pe alexandru nazare in legatura cu functiile pe care le detine partidul national liberal atat nominalizarea pentru comisia de constitutionalitate cat inca o nominalizare pentru un post de secretar sau vicepresedinte o sa le fac intr o sedinta viitoare multumesc ,"(1387.0, 1476.0)"
8,Doamna Alina-Ștefania Gorghiu:,7511,Domnul Radu-Mihai Mihail:,7699, multumesc rog ceilalti lideri il rog pe radu mihail scuzati ma v am vazut ulterior daca permiteti dupa ce intervine colegul de la usr multumesc ,"(1658.0, 1660.0)"
9,Domnul Radu-Mihai Mihail:,7699,Doamna Alina-Ștefania Gorghiu:,8013, multumesc doamna presedinta doua precizari in comisia de aparare pe locul mentionat de colegul fenechiu il nominalizam pe domnul marius bodea iar pentru comisia de energie in locul doamnei anca dragu va face parte din comisie domnul claudiu muresan multumesc ,"(1496.0, 1515.0)"
10,Doamna Alina-Ștefania Gorghiu:,8013,Domnul Ștefan-Radu Oprea:,8084, multumesc liderul psd are cuvantul ,"(1658.0, 1660.0)"
11,Domnul Ștefan-Radu Oprea:,8084,Doamna Alina-Ștefania Gorghiu:,9493, multumesc doamna presedinte intr adevar s au schimbat ponderile si urmare a faptului ca sunt trei senatori neafiliati la usr un senator neafiliat la aur ponderile vi le am transmis in comitetul liderilor grupul psd conform numarului de patruzeci si sapte de senatori un procent de treizeci si patru cincizeci si cinci cu o pondere de noua treisprezece are dreptul la noua functii de conducere noua de presedinte noua de vicepresedinte noua de secretar drept urmare avand in vedere ca detineam noua functii de presedinte noua functii de vicepresedinte si sase functii de secretar avem dreptul de a avea reprezentare in conformitate cu aceste ponderi cu functie de secretar in alte trei comisii si aceste comisii sunt comisia de invatamant comisia de aparare si comisia pentru drepturile omului si atunci fac urmatoarele anunturi domnul senator calin maties il va inlocui pe domnul senator danut cristescu in comisia pentru administratie publica domnul eugen dogariu va intra membru in comisia de buget finante doamna senator liliana sbirnea va prelua functia de secretar in comisia pentru invatamant domnul senator marius toanchina va prelua functia de secretar in comisia pentru drepturile omului egalitate de sanse culte si minoritati iar la comisia de aparare ordine publica si siguranta nationala pe locul partidului social democrat va ramane domnul senator gheorghita mindruta va multumesc ,"(1520.0, 1624.0)"
12,Doamna Alina-Ștefania Gorghiu:,9493,Domnul Claudiu-Richard Târziu:,9618, multumesc liderului psd liderul aur doreste sa intervina de asemenea va invit ,"(1624.0, 1660.0)"
13,Domnul Claudiu-Richard Târziu:,9618,Doamna Alina-Ștefania Gorghiu:,9915, multumesc frumos avem si noi doua modificari in urma iesirii din grupul parlamentar aur a doamnei senator evdochia aelenei o vom inlocui la comisia de sanatate cu senatorul sorin lavric si la comisia de energie cu doamna senator rodica boanca multumesc ,"(1634.0, 1660.0)"
