,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,şedinţei Senatului din 20 iunie 2022,21, ,"(540.0, 5595.0)",540.0,5595.0
2,şedinţei Senatului din 20 iunie 2022,21,S U M A R,61, ,"(540.0, 5595.0)",540.0,5595.0
3,S U M A R,61,S T E N O G R A M A,4266, unu aprobarea unor modificari in componenta nominala a comisiilor permanente trei patru ale senatului doi aprobarea ordinii de zi si a programului de lucru trei trei alocutiuni cu prilejul zilei iei patru patru aprobarea transmiterii catre camera deputatilor ca prima camera sesizata a noua unei initiative legislative cinci aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a noua unor initiative legislative sase adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la zece cincisprezece iunie doua mii douazeci si doi a unor initiative legislative sapte dezbaterea si respingerea propunerii legislative pentru modificarea art douazeci si patru alin din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(2188.0, 2197.0)",2188.0,2197.0
4,S T E N O G R A M A,4266,ședinței Senatului din 20 iunie 2022,4287, ,"(540.0, 5595.0)",540.0,5595.0
5,ședinței Senatului din 20 iunie 2022,4287,Domnul Florin-Vasile Cîțu:,4536, sedinta a inceput la ora cincisprezece unsprezece lucrarile sedintei au fost conduse de domnul florin vasile citu presedintele senatului asistat de domnii eugen pirvulescu si ion narcis mircescu secretari ai senatului ,"(980.0, 980.0)",980.0,980.0
6,Domnul Florin-Vasile Cîțu:,4536,Domnul Cătălin-Daniel Fenechiu:,5201, buna ziua doamnelor si domnilor senatori declar deschisa sedinta plenului senatului de astazi douazeci iunie doua mii douazeci si doi va anunt ca din totalul de o suta treizeci si cinci de senatori pana in acest moment si au inregistrat prezenta la lucrari saptezeci si doi de senatori sedinta de azi este condusa de subsemnatul presedintele senatului asistat de domnul senator eugen pirvulescu si domnul senator ion narcis mircescu secretari ai senatului la balcon avem un grup de invitati din partea domnilor senatori negoi palarie si mircescu din partea grupului parlamentar usr bine ati venit in parlamentul romaniei domnule fenechiu pe procedura va rog ,"(980.0, 1001.0)",980.0,1001.0
7,Domnul Cătălin-Daniel Fenechiu:,5201,Domnul Florin-Vasile Cîțu:,5728, multumesc domnule presedinte am un anunt si o sa am o solicitare anuntul este ca incepand de astazi doamna senator alina gorghiu se retrage din comisia de cultura si vine in comisia juridica pe locul eliberat de doamna iulia scantei iar in locul doamnei senator gorghiu in comisia de cultura o sa fie domnul liviu bratescu care tocmai a depus juramantul saptamana trecuta deci bratescu cultura alina gorghiu juridica astea sunt modificarile au fost intelese multumesc ,"(1003.0, 1036.0)",1003.0,1036.0
8,Domnul Florin-Vasile Cîțu:,5728,Domnul Cătălin-Daniel Fenechiu:,5771, multumesc ,"(540.0, 932.0)",540.0,932.0
9,Domnul Cătălin-Daniel Fenechiu:,5771,Domnul Florin-Vasile Cîțu:,6020, si ca sa nu mai fie nevoie sa mai urc o data am o solicitare cand prezentati ordinea de zi la punctul sapte nu avem raport si va solicit mutarea punctului saisprezece la punctul sapte ca sa nu umblam la ordinea de zi ,"(1037.0, 1050.0)",1037.0,1050.0
10,Domnul Florin-Vasile Cîțu:,6020,Domnul Cătălin-Daniel Fenechiu:,6063, va multumesc ,"(540.0, 932.0)",540.0,932.0
