,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,şedinţei Senatului din 22 iunie 2022,21, ,"(30.0, 2336.52)",30.0,2336.52
2,şedinţei Senatului din 22 iunie 2022,21,S U M A R,61, ,"(30.0, 2336.52)",30.0,2336.52
3,S U M A R,61,S T E N O G R A M A,3855, unu intrebari interpelari trei sapte saisprezece doi declaratii politice opt saisprezece saisprezece trei domnul senator ion dragos popescu informeaza plenul senatului asupra demisiei saisprezece sale din grupul parlamentar al usr urmand sa activeze ca senator neafiliat grupurilor parlamentare patru dezbaterea si adoptarea proiectului de lege pentru modificarea si completarea saptesprezece optsprezece ordonantei de urgenta a guvernului nr treizeci si doi doua mii doisprezece privind organismele de treizeci si sase treizeci si opt plasament colectiv in valori mobiliare si societatile de administrare a investitiilor precum si pentru modificarea si completarea legii nr doua sute nouazeci si sapte doua mii patru privind piata de capital din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(30.0, 2336.52)",30.0,2336.52
4,S T E N O G R A M A,3855,şedinţei Senatului din 22 iunie 2022,3876, ,"(30.0, 2336.52)",30.0,2336.52
5,şedinţei Senatului din 22 iunie 2022,3876,Domnul Virgil Guran:,4176, sedinta a inceput la ora noua douazeci si sase lucrarile sedintei au fost conduse de domnul virgil guran inlocuit de doamna alina stefania gorghiu vicepresedinti ai senatului asistati de domnul ion mocioalca si domnul sorin lavric secretari ai senatului ,"(30.0, 2336.52)",30.0,2336.52
6,Domnul Virgil Guran:,4176,Domnul Claudiu-Marinel Mureșan:,4787, buna dimineata stimati colegi declar deschisa sesiunea de intrebari interpelari de astazi douazeci si doi iunie doua mii douazeci si doi conducerea fiind asigurata de subsemnatul senator virgil guran vicepresedinte al senatului asistat de domnul senator ion mocioalca si domnul senator sorin lavric secretari ai senatului programul era cel clasic dar pentru ca ieri a intervenit schimbarea programului vom desfasura activitatea pana la zece zero fara cinci minute moment in care trebuie sa ne deplasam la plenul comun invit la microfon pe domnul senator muresan claudiu marinel pentru a prezenta intrebarea ,"(30.0, 93.52)",30.0,93.52
7,Domnul Claudiu-Marinel Mureșan:,4787,Domnul Virgil Guran:,7306, va multumesc frumos domnule presedinte am o interpelare de adresat domnului ministru alexandru rafila ministrul sanatatii si interpelarea se refera la programul centrelor de transfuzie de sange stimate domnule ministru in fiecare zi medicii fac apel catre populatie sa vina sa doneze sange pentru ca stim cu totii sunt foarte multi bolnavi care au nevoie de sange in perioada in care in perioada bolii donarea de sange si de componente sanguine faciliteaza o gama larga de tratamente esentiale si reprezinta o prioritate strategica de siguranta nationala iar sistemul ar trebui sa primeasca atentia cuvenita din pacate insa zilele de weekend sunt pentru multi romani internati in spitalele din romania si pentru apartinatorii acestora adevarate zile de calvar fac aici referire la cei internati in spitale cu diverse probleme de sanatate si care au nevoie urgenta de transfuzii de sange acesti pacienti trec prin momente de groaza sau pur si simplu se sting pe paturile spitalelor din romania din cauza faptului ca in mod absolut ridicol si sfidator centrele de transfuzie pur si simplu pun lacatul pe usa vineri si se redeschid abia luni in prezent programul de lucru al centrelor de transfuzie sanguina din romania se desfasoara intre orele sapte treizeci si saptesprezece treizeci de luni pana vineri asta in timp ce multi donatori ar putea sa doneze sange sambata sau duminica e groaznic e realmente inuman sa vezi cum bolnavilor care au nevoie de sange li se spune ca in weekend nu pot sa il primeasca de parca boala are rabdare sau bolnavul poate amana cum doreste tratamentul este evident faptul ca sistemul trebuie restructurat si modernizat pentru imbunatatirea accesului donatorilor la centrele de donare dar mai ales al pacientilor la sange produse si derivate din sange in consecinta va adresez respectuos urmatoarele intrebari pentru care va solicit un raspuns in scris care este strategia ministerului sanatatii cu privire la problemele legate de programul centrelor de transfuzie va rog de asemenea sa mi spuneti daca aveti in vedere modificarea acestui program prin impunerea unui program continuu adica si in zilele de sambata si duminica de asemenea va rog sa mi spuneti in ce stadiu se afla reorganizarea si modernizarea sistemului national de transfuzie sanguina in romania va multumesc frumos claudiu muresan senator de sibiu multumesc domnule presedinte ,"(111.52, 269.52)",111.52,269.52
8,Domnul Virgil Guran:,7306,Domnul Dorinel Cosma:,7390, multumesc si eu are cuvantul domnul senator cosma dorinel ,"(269.52, 1226.52)",269.52,1226.52
9,Domnul Dorinel Cosma:,7390,Domnul Virgil Guran:,9230, buna ziua dragi colegi buna ziua domnule presedinte astazi voi prezenta o intrebare adresata domnului barna tanczos ministrul mediului apelor si padurilor obiectul intrebarii controalele la societatile comerciale ce practica arderi ilegale de deseuri stimate domnule ministru pe paisprezece aprilie au avut loc descinderi de amploare in satul balteni judetul dambovita actiuni la care au participat peste doua sute de politisti jandarmi si comisari ai garzii de mediu care au perchezitionat societati care practica arderi ilegale de deseuri in acest sens garda de mediu a identificat douazeci si patru de societati comerciale care au ca domeniu de activitate prelucrarea deseurilor si materialelor feroase si neferoase din cauza neregulilor gasite de catre autoritati cei vizati au primit amenzi iar activitatea firmelor a fost intrerupta autoritatile din judetul dambovita au efectuat de asemenea actiuni de reciclare a deseurilor gasite pe campuri urmand ca ulterior acestea sa fie in totalitate curatate dupa mai multe zile de eforturi in acest context va adresez rugamintea de a mi raspunde la urmatoarele intrebari unu care este perspectiva ministrului mediului apelor si padurilor cu privire la societatile comerciale care practica actiuni ilegale de ardere a deseurilor doi ce masuri are in vedere ministerul pe care il conduceti in aceasta directie pentru a diminua cazurile de acest gen de poluare trei luand in considerare descinderile efectuate in dambovita care este rezolutia viitoare pentru restul judetelor din tara care vizeaza societatile comerciale ce practica astfel de activitati ilegale de ardere de deseuri va solicit raspuns scris si oral va multumesc cu deosebita consideratie dorinel cosma senator aur botosani va multumesc ,"(365.52, 436.52)",365.52,436.52
10,Domnul Virgil Guran:,9230,Doamna Ionela-Cristina Breahnă-Pravăț:,9722, multumesc si eu daca mai avem declaratii politice da domnul intrebarile va rog doamna senator ,"(269.52, 2262.52)",269.52,2262.52
